A	განუსაზღვრელი არტიკლი,
tube	მილი; ჩიბუხი; მეტროპოლიტენი (ლონდონში)
tuck	ნაკეცი, ნაოჭი
Tuesday	სამშაბათი
tuft	კონა; ქოჩორი
tug	ბუქსირზე აყვანა, თრევა; მოწევა, გაწევა
tuition	სწავლის ფული
tulip	ტიტა
tumble	გადავარდნა
tumult	მღელვარება, ხმაური
tune	მოტივი; აწყობა, მოწყობა
tungsten	ვოლფრამი
tunnel	გვირაბი
turbid	მღვრიე
turbine	ტურბინი
turbulent	ბუქიანი, ქარიშხლიანი; შფოთიანი
turf	ბელტი; ტორფი
Turk	თურქი, ოსმალო
Turkey	თურქეთი, ოსმალეთი
turkey	ინდაური
Turkish	თურქული; თურქული ენა
Turkman	თურქმენი
turmoil	ხმაური, ხმაურობა; ალიაქოთი, აურზაური
turn	მობრუნება; რიგი; ჯერი; ტრიალი; გარდაქმნა turn off მოწერა ონკანის; სინათლის ჩაქრობა; turn up გამოჩენა, აღმოჩენა
turncoat	გადასული, მოღალატე
turner	ხარატი
turn-out	პროდუქცია
turret	ქვემეხის კოშკი
turtle	ზრვის კუ
tusk	ეშვი
tutelage	მეურვეობა
tutor	მეურვე; რეპეტიტორი
twelve	თორმეტი
twenty	ოცი
twice	ორჯერ
twig	შტო; რტო
twillight	ბინდი, დაისი
twin	ტყუპის ცალი; ორეული
twine	ბაწარი; ენევა; ქსოვა; გარსშემოხვევა, შემოხვევა
twinkle	ციმციმი, კამკამი
twirl	ტრიალი, ბრუნვა
twist	მოღუნვა; მოკაკავა; მობრუნება; დაგრეხა, დამახინჯება
twitch	კრუნჩხვა; ძრობა, გლეჯა
twitter	ჭიკჭიკი, ტიტინი
two	ორი
type	ტიპი, ნიმუში; შრიფტი; საბეჭმანქანაზე ბეჭდვა
type-setter	ასოთამწყობი
typewriter	საბეჭდი მანქანა
typhoid	მუცლის ტიფი
typhus	ტიფი (პარტახტიანი)
typical	ტიპიური
typify	ტიპის გამოყვანა, განსახიერება
typist	მემანქანე ქალი
tyranny	ტირანია, მტარვალობა
tyrant	ტირანი, მტარვალი
tyre	სალტე
ugly	უგვნი, მახინჯი, უშნო
Ukraine	უკრაინა
Ukrainian	უკრაინელი; უკრაინული
ulcer	იარა, წყლული
ulterior	საბოლოო
ultimate	უკანასკნელი
ultimatum	ულტიმატუმი
umbrella	ქოლგა
umpire	სამედიატორო სასამართლო
unabashed	დაურცხვენელი
unable	უუნარო, შეუძლო, უძლური
unaccountable	აუხსნადი, უპასუხისმგებლო
unaccustomed	მიუჩვეველი, უჩვეულო
unadvisedly	არაკეთილგონიერად, გაუფრთხილებლად
unaffected	გულწრფელი, უბრალო
unaided	დახმარებას მოკლებული
unalterable	უცვლადი
unanimity	ერთსულოვნება
unanimous	ერთსულოვანი
unanswerable	უცილობელი, უდავო
unapproachable	მიუვალი, მიუდგომელი
unassailable	მიუვალი, მიუდგომელი
unassuming	მორცხვი, მორიდებული
unattainable	მიუწვდომელი, მიუღწეველი
unavoidable	აუცილებელი, გარდუვალი
unaware	გაუფრთხილებელი, არმცოდნე; უეცრად, მოულოდნელად
unbalanced	წონასწორობას მოკლებული; გაუწონასწორებელი
unbearable	აუტანელი
unbecoming	შეუფერებელი
unbelievable	დაუჯერებელი
unbend(unbent,	unbent)     გამართვა, გასწორება
unbending	უდრეკი, შეუდრეკელი
unbiassed	უწინაზრახვო, მიუდგომელი
unbind(unbound,	unbound)   გახსნა, შეხსნა
unblemished	უმწიკვლო, უძრახველი
unblushing	უსირცხვილო, ურცხვი
unbosom	საიდუმლოს გაცემა, განდობა
unbounded	უსაზღვრო, საზღვარდაუდებელი
unbridled	აღვირახსნილი, თავგასული
unbroken	გაუტეხელი; შეუწყვეტელი; დაურღვეველი, მტკიცე
unburden	შემსუბუქება
unbutton	გახსნა, შეხსნა
uncalled-for	დაუპატიჟებელი
uncanny	საიდუმლო
uncared-for	მიტოვებული, მიგდებული
unceasing	უწყვეტი, შეუწტვეტელი
uncertain	დაურწმუნებელი, დაუჯერებელი; გამოურკვეველი
unchain	განთავისუფლება, ბორკილის ახსნა
unchecked	თავდაუჭერელი, თავშეუკავებელი
uncle	ბიძა; Uncle Sam "ძია სემი" (ა.შ.შ.-ს შერქმეული სახელი)
uncloack	ტანთ გახდა, მანტიის მოხდა
unclose	გაღება
unclouded	უღრუბლო
uncoil	მორგვის გარღვევა
uncomfortable	მოუმარჯვებელი, მყუდროებას მოკლებული
uncommon	უჩვეულო, არაჩვეულებრივი, საუცხოო
uncompromising	შეუდრეკელი, დაუთმობელი, ჯიუტი
unconcern	გულგრილობა, გულციობა
unconditional	უთუმცაო, უსიტყვო
unconquerable	უძლევი, უძლეველი
unconscious	გონებადაკარგული
unconstraint	ძალდაუტანლობა, სითამამე
uncontemplated	გაუთვსალისწინებელი
uncork	ბოთლის გახსნა, საცობის მოხდა
uncouth	უხეში, მოუხეშავი
uncover	გახსნა, გამომჟღავნება
undated	დაუთარიღებელი
undaunted	უშიშარი, შეუპოვარი
undemonstrative	თავშეკავებული
undeniable	უვილობელი, უდავო
under	ქვეშ; დაბლა; ქვევით
underclothes	საცვალი
unederestimate	დაუფასებლობა, შეუფასებლობა
underfeed(underfed,	underfed)     ლუკმაპურის უქონლობა, შიმშილობა
undergo(underwent,	undergone)   განცდა, ატანა, მოთმენა, საფრთხეში ჩაგდება, გაწვალება
underground	მიაისქვეშა the Underground მეტრო
underhand	ფარულად, საიდუმლოდ
underlie(underlay,	underlain)    საფუძვლად დადება
underline	ხაზის გასმა, გახაზვა
undermine	ძირის გამოთხრა
underneath	უფრო დაბლა, ქვემოდან, ქვევით
underpay(underpaid,	underpaid)   დაბალი ხელფასის მიცემა
under-production	ნაკლწარმოება
underrate	დაუფასებლობა
undersell(undersold,	undersold)     სხვაზე უფრო იაფად გაყიდვა
undersigned	ქვემორე ხელის მომწერი
undersized	ტანდაბალი
understand(understood,	understood)   გაგება, მიხვედრა
understanding	გონება, ჭკუა; გულისხმიერება, მიმხვდემელობა; თანხმობა, შეთანხმება
understate	დაპატარავება, შემცირება
undertake(undertook,	undertaken)    წამოწყება, ხელის მოკიდება, თავდებობა
undertaker	მეწარმე; მეკობოვე
undervalue	დაუფასებლობა, შეუფასებლობა
underwear	საცვალი
underworld	დამნაშავეთა სამყარო; ნაძირალები
underwrite,(underwrote,underwritten)	ხელისმოწერა; გემის დაზღვევა
undesirable	არასასურველი
undistinguished	განურჩეველი, განუსხვავებელი
undo(undid,	undone)            გახსნა; დარღვევა,ჩაშლა; გაფუჭება
undoubted	უეჭველი, უთუო
undoubtedly	უეჭველად, უთუოდ
undress	ტანზე გახდა, გაშიშვლება
undue	უდროო; არაკანონიერი, არაწესიერი; მეტისმეტი, უზომო
undying	უკვდავი, დაუვიწყარი
uneasy	შეუწუხებელი, შეშფოთებული
unemployed	უმუშევარი
unemployment	უმუშევრობა
unequal	უთანასწორო, უტოლო
unequivocal	არაორაზროვანი, ნათელი
unerring	შეუვდომელი, შეუმცდარი
unessential	უარსებითო, არაარსებითი
uneven	უსწორო, უსწოემასწორო
unexampled	უმაგალითო
unexpected	მოულოდნელი
unfailing	ულევი, ულეველი; საიმედო
unfair	უსამართლო; უპატიოსნო
unfasten	შეხსნა, გახსნა, მოხსნა
unfeeling	უგრძნობი, მკაცრი, სასტიკი
unfeigned	პირუთვნელი, გულწრფელი
unfit	შეუფერებელი, უვარგისი
unfold	გაშლა, გაფენა; გამომჟღავნება
unforgettable	დაუვიწყარი
unfortunate	უბედური, უბედო
unfortunately	საუბედუროდ
unfounded	დაუსაბუთებელი
unfriendly	მტრული
ungainly	მოუხეშავი, უხეში, ტლანქი
ungovernable	თავშეუკავებელი, დაუმორჩილებელი
ungrounded	უსაფუძვლო, დაუსაბუთებელი
unguarded	დაუცველი, მოუფიქრებელი
unhappy	უბედური
unhealthy	არაჯანსაღი
uniform	ფორმა, მუნდირი; ერთგვარი, ერთგვაროვანი
unify	გაერთიანება, გაერთსახოვნება
union	კავშირი, გაერთიანება
unique	ერთადერთი
unit	ერთეული; სამხედრო ნაწილი
unite	გაერთიანება, შეერთება; United States ამერიკის შეერთებული შტატები
unity	ერთიანობა, მთლიანობა; თანხმობა
universal	საერთო, საყოველთაო
universe	სამყარო
university	უნივერსიტეტი
unjust	უსამართლო
unkind	ავი, ბოროტი
unknown	უცნობი
unlace	ზონრის, ზორტის გახსნა
unlade	გადმოტვირთვა, გადმოცლა
unlawful	უკანონო
unless	თუ არა, მანამდე
unlettered	უწიგნური, უსწავლელი
unlike	უმსგავსო
unlikely	საეჭვოა, ნაკლებად დასაჯერებელი
unlimited	განუსაზღვრელი, შეუზღუდავი
unload	გადმოტვირთვა; დაცლა, თოფის განმუხტვა
unlock	გაღება
unlooked	for    გაუთვალისწინებელი, მოულოდნელი
unlucky	უბედური
unmask	მხილება, გამომჟღავნება
unmatched	შეუდარებელი, უბადლო
unmistakable	უეჭველი, უცდომელი
unnatural	არაბუნებრივი
unnecessary	ზედმეტი, დაუჭირვებელი
unnoticed	შეუმჩნეველი
unpack	გახსნა
unpaid	ფასგადაუხდელი
unparalleled	შეუდარებელი
unpleasant	არასასიამოვნო
unpopular	არაპოპულარული
unprecedented	უმაგალითო, შეუდარებელი
unprejudiced	უწინაზრახვო
unpretentious	თავდაჭერილი, უპრეტენზიო
unproductive	არაწარმოებითი, უპროდუქვიო, უბარაქო
unprofitable	უსარგებლო, უსაფრო
unqualified	არაკვალიფიციური, უვარგისი
unquenchable	დაუცხრომელი, დაუღლელი
unquestionable	უცილობელი, უდავო
unquotable	უცენზურო, უწმაწური
unreal	არარეალური
unrealizable	განუხორციელებელი
unreasonable	უჭკუო, უგუნური
unremitting	დაუცხრომელი, შეუსუსტებელი
unrest	მღელვარება; არეულობა, შფოთი
unrestrained	თავშეუკავებელი, თავდაუჭერელი
unruly	დაუმორჩილებელი, ურჩი
unsafe	საშიში, სახიფათო, უიმედო
unsatisfactory	არადამაკმაყოფილებელი
unsavoury	უგემური; მიუზიდველი
unscrupulous	არაკეთილსინდისიერი, უპატიოსნო
unseemly	უკადრისი, უზრდელი
unseen	უხილავი
unselfish	უანგარო, მოუსყიდავი
unsettled	გადაუწყვეტელი; ფასგადაუხდელი; მოშლილი; მერყევი
unskilled	არაკვალიფიციური
unsound	არაჯანსაღი; გაფუჭებული, დამპალი; უიმედო, უსაფუძვლო
unsparing	შეუბრალებელი; მფლანგველი, გულუხვი
unspeakable	გამოუთქმელი, აუწერელი
unsteady	მერყევი
untidy	უსუფთაო, ბინძური
until	იმ დრომდე, სანამ; -მდე, მანამდე
untimely	უდროო; უდროოდ
untold	უთქმელი; უთვალავი
untrained	გაუწვრთნელი, უსწავლელი
untrue	ცრუ, ყალბი, არასწორი, შემცდარი
unusual	უჩვეულო, არაჩვეულებრივი
unutterable	გამოუთქმელი, აუწერელი
unveil	პირბადეს მოხსნა, გახმაურება საიდუმლოს
unwelcome	არასასურველი, არასანატრელი
unwell	ავადმყოფი
unwilling	არამწყალობელი
unwillingly	უხალისოდ
unwise	უჭკუო, უგუნური
unworthy	უღირსი
unyielding	შეუპოვარი, მტკიცე
up	ზევით, ზემოთ
upbraid	ლანძღვა, გინება
upbringing	აღზრდა, გაზრდა
upheaval	დიდი სოციალური ცვლილება
uphold	დაჭერა, შემაგრება
upholster	ავეჯით გაწყობა; ავეჯის გადაკვრა
uplift	აწევა, ატანა
upon	-ზე
upper	ზედა, უმაღლესი
uppermost	ყველაზე მაღალი, უმაღლესი
upright	პირდაპირი; პატიოსანი
uprise	აღდგომა; აჯანყება
uprising	აჯანყება
uproar	სიბრაზე, სიგიჟე, ღრიანცელი
uproot	აღმოფხვრა, ძირფესვიანად ამოგდება
upset	გადაყირავება, გადაბრუნება; სულიერი სიმშვიდის დარღვევა
upshot	შედეგი, დასკვნა
upside-down	პირქვე, ყირამალა
upstairs	ზემოთ, ზემო სართულზე
up-to-date	უახლოესი, თანამედროვე
upturn	გადაბრუნება, გადატრიალება, გადაშლა
upwards	ზევითკენ
Ural	ურალი
urban	ქალაქის, საქალაქო
urbane	ზრდილობიანი, თავაზიანი
urge	დაჟინებით მოთხოვნა
urgency	სისწრაფე, გადაუდებლობა
urgent	სასწრაფო, გადაუდებელი
us	ჩვენ
U.S.A.,(United	States of America) ამერიკის შეერთებული შტატები
usage	გამოყენება; ჩვეულება
use	სარგებლობა; სარფი, ხეირი; გამოყენება
used	მიჩვეული; გამოყენებული
useful	სასარგებლო
useless	უსარგებლო
usher	მეკარე, კაპელდინერი თეატრში
usual	ჩვეულებრივი
usually	ჩვეულებრივ
usurer	მევახშე
usurp	სამეფო ტახტის დაპყრობა, ხელისუფლების მიტაცება
usury	მევახშეობა
Utah	იუტა (შტატი)
utensil	ჭურჭელი
utility	სარგებლიანობა, სარფიანობა
utilize	გამოყენება
utmost	უკიდურესი
Utopia	უტოპია
Utopian	უტოპიური
utter	სრული, აბსოლუტური; წარმოთქმა
utterly	უკიდურესად, საგანგებოდ
Uzbek	უზბეკი
Vacancy	ვაკანსია, თავისუფალი ადგილი; სიცარიელე
vacant	თავისუფალი, ვაკანტური
vacate	მიტოვება
vacation	არდადეგები; შვებულება
vaccinate	აცრა
vaccination	აცრა
vacillate	ქანაობა, მერყეობა
vacillation	ქანაობა, მერყეობა
vacuity	სიცარიელე
vacuum	სიცარიელე
vagabond	მოხეტიალე, მაწანწალა
vagrancy	მაწანწალობა
vagrant	მოხეტიალე
vague	გაურკვეველი, ბუნდოვანი
vain	ამაო, უქმი; ქედმაღალი, გაბღენძილი in vain ამაოდ უშედეგოდ
vainglorious	მკვეხარა, ტრაბახა, ქედმაღალი
valiant	მამაცი, გულადი
valid	ნამდვილი, ძალაში მყოფი
validity	სინამდვილე, კანონიერება
valise	ჩემოდანი
valley	ველი, ხეობა
valour	მხნეობა, სითამამე
valuable	ძვირფასი, ფასიანი
valuation	შეფასება, დაფასება
value	ფასი, ღირებულება; დაფასება, შეფასება
valve	სარქველი
van	ფურგონი, ვაგონი
vanguard	ავანგარდი, მოწინავე რაზმი
vanilia	ვანილი
vanish	გაქრობა, დაკარგვა
vanity	დიდების მოყვარულობა, მედიდურობა
vanity-bag	ქალის ჩანთა
vanquish	გამარჯვება, დაპყრობა
vantage-ground	ხელსაყრელი პოზიცია
vapid	უგემური, უგემოვნებო
vaporise	აორთქლება
vapour	ორთქლი
variable	ცვალებადი
variance	უთანხმოება, ჩხუბი
variation	ცვალებადობა
variety	სხვადასხვაობა, ნაირსახეობა
various	ნაირნაირი, სხვადასხვაგვარი
varnish	სანდალოზი, ლაქა, კრიალი, პრიალი
vary	სხვადასხვაობა, სხვადასხვანაირობა
vase	ვაზა
vassal	ვასალი
vast	ფართო, დიდი
vat	კასრი დიდი, აუზი
vaudeville	ვოდევილი
vault	კამარა; სარდაფი, აკლდამა
veal	ხბოს ხორცი
veer	გადახრა, მიმართულების გამოცვლა
vegetable	ბოსტნეული
vegetarian	ვეგეტარიანელი; ვეგეტარიანული
vehemence	სიცოფე, სიბრაზე
vehement	გაცოფებული, გაბრაზებული
vehicle	ოთხთვალა, ეტლი
veil	საბანი, გადასაფარებელი; პირბადე
vein	ვენა, ძარღვი
velocity	სისწრაფე
velvet	ხავერდი
venal	მექრთამე
vender	გამყიდველი
veneer	ფანერა; გადატ. გარეგნული ბრწყინვალება
venerable	პატივცემული, საპატიო
veneration	პატივი, რიდი, მოწიწება
vengeance	შურისძიება
venom	შხამი, ღვარძლი
vent	ნახვრეტი, ჭუჭრუტანა
ventilate	განიავება, ჰაერის გაწმენდა
ventilation	ვენტილაცია
venture	საფრთხილო წამოწყება; გაბედვა
veracity	ალალმართლობა
veranda	აივანი
verb	ხმნა
verbal	სიტყვიერი, ზეპირი
verbose	სიტყვამრავალი, მრავალმეტყველი
verdict	განაჩენი
verge	საზღვარი, ზღვარი
verify	შემოწმება
veritable	ნამდვილი, ჭეშმარიტი
vermilion	სინგური; ღია წითელი
vermin	პარაზიტი
vernacular	ადგილობრივი ენა, დიალექტი
versatile	მრავალმხრივი; მოძრავი
verse	ლექსი, ტაეპი
versed	გამოცდილი, მცოდნე
version	ვერსია; თარგმანი
versus	პირისპირ
vertical	ვერტიკალური, შვეული
very	ძალიან, ძლიერ; სწორედ ის
vessel	ჭურჭელი; გემი
vest	ჟილეტი
vestige	კვალი
veterinary	ვეტერინალური; ვეტერინარი, ბეითალი
veto	ვეტო; ვეტოს დადება; აკრძალვა
vex	გაჯავრება, წყენინება
via	გზით, გავლით
viands	საჭმელი, სანოვაგე
vibrate	თრთოლვა
vice	ნაკლი, ხარვეზი; მოადგილე. ვიცე
vice	versa    პირუკუ
vicinity	მიდამო, არემარე
vicious	ბიწიერი, მანკიერი; უკანონო
vicissitude	ბედის ცვალებადობა
victim	მსხვერპლი
victorious	გამარჯვებული
victory	გამარჯვება
victuals	სანოვაგე
vie	მეტოქეობა, შეცილება
Vienna	ვენა
view	ხედი; შეხედულება; მიმოხილვა
viewpoint	აზრი; მოსაზრება
vigilance	სიფხიზლე
vigilant	ფხიზელი
vigorous	ძლიერი, ენერგიული
vigour	ძალა, ენერგია
vile	საძაგელი, ფლიდი, უნამუსო
village	სოფელი
villager	სოფლელი
villain	საძაგელი, აეამზადა
vindicate	სახელის აღდგენა; დაცვა უფლების
vindication	სახელის აღდგენა, დაცვა
vindictive	შურისმაძიებელი
vine	ვაზი
vinegar	ძმარი
vineyard	ვენახი
vintage	რთველი
violate	კანონის დარღვევა; ძალადობა, გაუპატიურება
violation	დარღვევა
violence	ძალა; ძალდატანება
violent	ძლიერ; ძალდატანებიტი
violently	ძლიერად, ღონივრად, მაგრად
violet	ია; იისფერი
violin	ვიოლინო
violinist	ვიოლინოს დამკვრელი
viper	ჭრელი გველი
Virginia	ვირჯინია (შტატი)
virile	მხნე, გულადი
virtual	ფაქტიური
virtue	სათნოება, სიკეთე, მადლი; ღირსება
virtuous	სათნო, კეთილი, მადლიანი
virulent	ძლიერი, შხამიანი; ავგული, ღვარძლიანი
vise	ვიზა, ნებართვა; ვიზის მიცემა, დადასტურება
visibility	ხილვადობა, სიცხადე
visible	ხილვადი, ცხადი
vision	მხედველობა, მოჩვენება
visionary	მოჩვენებული, მოლანდებული
visit	ნახვა, სტუმრად მისვლა
visitor	სტუმარი, მნახველი
visual	მხედველობითი
visualize	თვალსაჩინოდ წარმოდგენა
vital	საარსებო, სასიცოცხლო
vitality	ცხოველუნარიანობა, ცხოველმოსილება
vivacious	ცოცხალი, გაცოცხლებული, მკცირცხლი
vivacity	სიცხოველე, სიცქვიტე
vivid	ცოცხალი, კაშკაშა
vivify	გამოცოცხლება
vocabulary	სიტყვარი, სიტყვათა მარაგი
vocal	ვოკალური, სასიმღერო
vocation	მოწოდება, ნიჭი
vociferous	ბოხხმიანი, მყვირალა
vogue	მოდა; პოპულარობა
voice	ხმა; ზმნის გვარი; სიტყვებით გადმოცემა
void	სიცარიელე; ცარიელი
volatile	აქროლადი; აირადი; მხიარული
volcanic	ვულკანური
volcano	ვულკანი
volley	ბათქი
voluble	მრავალმეტყველი
volume	ტომი; მოცულობა
voluminous	მრავალტომიანი; ვრცელი, დიდი
voluntary	ნებაყოფლობითი, თავისუფალი
volunteer	მოხალისე
voluptuous	ავხორცული, ხორციელი
vomit	პირის ღებინება; ამოტყორცნა, ამოსროლა
voracious	გაუმაძღარი, მსუნაგი
vortex	მორევი
vote	ხმის მიცემა
voter	ამომრჩეველი
voting-paper	საარჩევნო ბიულეტენი
vouch	თავდებობა, რეკომენდაციის მიცემა
vow	ფიცი; დაფიცება
vowel	ხმოვანი ბგერა
voyage	ზღვით მგზავრობა
vulgar	ვულგარული, უხამსი
vulnerable	მოწყვლადი, დაკოდილი
vulture	ორბი, სვავი
wad	ბამბის ნაფლეთი
wadding	ბამბა, დასატენი თოფის
wade	ფონით გასვლა
wag	ფარფატი (ფრთების; ხუმარა; აქნევა; გაქნევა
wage	ხელფასი
wage-cut	ხელფასის დაკლება
wager	სანაძლეო; განაკვეთი; სანაძლეოს დადება
wagtail	მაბზაკუნა, ბოლოქანქარა
waif	უსახლკარო ადამიანი, უპატრონო ბავშვი
wail	ტირილი; დატირება
waist	წელი; დავიწროება
waistcoat	ჟილეტი
wait	ცდა; ლოდინი
waiter	ოფიციანტი
waiting-room	მისაღები ოთახი
waitress	ოფიციანტი ქალი
wake	(woke, woken)   გაღვიძება; გამოფხიზლება
wakeful	ფხიზელი; უძილო
waken	გამოღვიზება; გამოფხიზლება
Wales	უელსი
walk	სიარული; ფეხით სეირნობა; მიხრა-მოხრა; ბილიკი
wall	კედელი Wall street უოლ-სტრიტი- ამერიკის ფინანსური ცხოვრების ცენტრი
wallet	ტყავის ჩანთა; საფულე; ქისა
wall-eye	ლიბრი
wall-flower	იაყვითელა
wallow	გდება; გორვა, ფართხალი
wall-paper	შპალერი, კედლის ქაღალდი; კედლის გაზეთი
walnut	კაკალი; კაკლის ხე
walrus	ლომვეშაპი
wan	ფერმიხდილი, ფერმკრთალი
wand	კვერთხი; ჯოხი, ჩხირი
wander	ხეტიალი, წანწალი
wane	კლება (მთვარისა)
want	სურვილი; გაჭირვება; ნდომა; გაჭირვებაში ყოფნა
wanton	უზნეო, გარყვნილი,უმიზნო; დაუჭირვებელი
war	ომი; patriotic warსამამულო ომი
ward	მეურვეობაში მყოფი; პალატა საავადმყოფოში; საკანი სატუსაღოში; ქალაქის რაიონი
warden	ციხის უფროსი; მნათე
warder	სატუსაღოს დარაჯი
wardrobe	გარდერობი
ware	ნაკეთები, ნახელავი
warehouse	საქონლის საწყობი
warfare	ომი; ომის წარმოების ხერხები
warlike	მეომარი, მებრძოლი
warm	თბილი, გულითადი; საშიში, მძიმე მდგომარეობა
warmth	სითბო
warn	გაფრთხილება
warning	გაფრთხილება; air-raid warning საჰაერო განგაში
warp	გამრუდება
war-plane	სამხედრო თვითმფრინავი
warrant	უფლებამოსილება; ორდერი დასაპატიმრებელი; უზრუნველყოფა; უფლებით აღჭურვა
warrior	მებრძოლი, მეომარი
Warsaw	ვარშავა
war-ship	სამხედრო გემი
wart	მეჭეჭი
wary	ფრთხილი
wash	ბანა, დაბანა; გარეცხვა
washerwoman	მრეცხავი ქალი
Washington	ვაშინგტონი
wash-stand	პირსაბანი
wasp	კრაზანა, ბზიკი
waste	ფლანგვა; აოხრება; წარმოების ნაეჩენი; დასუსტება; დაუძლურება
wasteful	მფლანგველი
watch	საათი ჯიბის; დაცვა, თვალყურის დევნება
watch-chain	საათის ძეწკვი
watchful	ფხიზელი
watch-maker	მესააღე
watchman	დარაჯი
watchword	პაროლი, ლოზუნგი
water	წყალი; მორწყვა
water-can	საეწყული
water-colour	აკვარელი
waterfall	ჩანჩქერი
water-melon	საზამთრო
waterproof	წყალგაუმტარი
watershed	წყალგამყოფი
watertight	წყალუჟონავი
water-tower	წყალსატუმბი
water-way	სანაოსნი არხი
water-works	წყალსადენის სადგური
watery	წყალწყალა, გაწყალებული
wave	ტალღა; ქანაობა, რხევა, ფრიალი; აქნევა, მოქნევა
waver	ტორტმანი, შერხევა
wavy	ტალღოვანი, ტალღისებური
wax	ცვილი, თაფლის სანტელი; ზრდა; გახდომა (ხდება); დადგომა (დგება)
way	გზა; მანძილი; ყოფაქცება; საშუალება; by the way სხვათა შორის; way out გამოსავალი მდგომარეობიდან
wayfarer	მგზავრი
wayside	გზისპირა
wayward	თავქეიფა, თვითრჯული; ცვალებადი, მიზეზიანი
we	ჩვენ
weak	სუსტი; გამხდარი
weaken	დასუსტება, მოდუნება
weakling	სუსტი არსება
weakness	სისუსტე
wealth	სიმდიდრე, ქონება
wealthy	მდიდარი, შეძლებული
weapon	იარაღი
wear	(wore, worn)   ხმარება, ტარება, გაცვეთა
weariness	დაქანცულობა, დაღლილობა; მოწყენილობა
wearisome	დამქანცველი, მომღალავი; მოსაწყენი
weary	დაქანცული, მოქანცული
weather	ამინდი, დარი
weather-beaten	გამობრძმედილი, მტკიცე; ქარით გაფუჭებული
weathercock	ფლუგერი; მერყევი ადამიანი
weave	(wove, woven) ქსოვა, წნვა
weaver	ფეიქარი
web	ქსელი; ქსოვილი
wedding	ქორწილი
wedge	სოლი; სოლის ჩასობა
Wednesday	ოთხშაბათი
weed	სარეველა ბალახი
week	კვირა
weekly	ყოველკვირეული
weep	ტირილი, დატირება
weigh	აწონა
weight	წონა; საწონი
weighty	მძიმე
welcome	კეთილი იყოს თქვენი მობრძანება; სასურველი
welfare	კეთილდღეობა, ბედნიერება
well	წყარო; ჭა; კარგად; ჰო, ჰოდა; კარგი, ჯანმრთელი
well-being	კეთილდღეობა, ბედნიერება
well-bred	ზრდილობიანი, ზრდილი, წმინდა სისხლის
well-grounded	დასაბუთებული, კარგად მომზადებული
well-timed	თავის დროული
well-to-do	შეძლებული
well-turned	მარჯვე
welter	ფართხალი, გორაობა; ნერვიულობა
wench	ქალიშვილი, გასათხოვარი ქალი
west	დასავლეთი
western	დასავლეთის
westward	დასავლეთისაკენ
wet	სველი, ნესტიანი; დასველება
whale	ვეშაპი
whaler	ვეშაპზე სანადირო გემი
wharf	ნავმისადგომი; ნავსაბელი; სანადირო
what	რომელი, რა, რომელსაც; როგორი
whatever	რაც კი, რომელიც კი
wheat	ხორბალი
wheedle	მილაქუცება, გულის მოგება
wheel	ბორბალი, ველოსიპედი
wheelbarrow	ურიკა, მაზიდი
whelp	ლეკვი
when	როდესაც, როცა; მაშინ როდესაც
whence	საიდანაც, საიდან
whenever	როდესაც არ, როცა არ
where	სად, საითკენ
whereabouts	დაახლოებითი ადგილსამყოფელი
whereas	მაშინ როდესაც
whereby	რის ახლოს? როგორ? საიდან?
whereupon	რის შემდეგაც, შემდეგ
wherever	სადაც არ, საითკენაც არ
whether	თუ ასე თუ ისე
which	რომელი, რომელიც, რომელსაც
whiff	მობერვა, დაბერვა
while	იმ დროს როდესაც, მაშინ როდესაც
whim	კაპრიზი, ჟინი
whimper	წუწუნი
whip	მათრახი; გამათრახება
whisky	ვისკი
whisper	ჩურჩული
whistle	სტვენა; სასტვენი
white	თეთრი, ცილა White House "თეთრი სახლი' (აშშ-ს პრეზიდენტის რეზიდენცია)
whiteguard	თეთრგვარდიელი
whiten	გათეთრება
whitewash	თეთრება, თეთრად ღებვა კირიტ ან ცარცის ხსნარით
whiz	სტვენა
who	ვინ, რომელი, რომელიც
whoever	ვისაც არ უნდა, რომელიც არ უნდა
whole	მტელი, მთლიანი; უვნებელი
wholesale	ბითუმად ვაჭრობა
wholesome	სამკურნალო, სასრგებლო
wholly	სავსებით, მთლიანად
whom	რომელიც, ვინც
whortleberry	მოცვი
whose	ვისი, რომლის
why	რატომ, რისთვის
wick	პატრუქი
wicked	ავი, ბოროტი
wicker	ტირიფის წნელი; დაწნული
wide	ფართო, განიერი
wide-awake	ფხიზელი
widen	გაფართოება
widow	ქვრივი ქალი
widowed	დაქვრივებული
widower	ქვრივი კაცი
width	სიგანე, განი
wife	ცოლი
wig	პარიკი
wild	გარეული
wilderness	უდაბნო
wilful	თავქეიფა, ჯიუტი, თვითრჯული; წინასწარ განზრახული
will	(would, would)  ნებისყოფა, ანდერძი, სურვილი; ნებისყოფის გამოხატვა; იხმარება როგორც მეშველი ზმნა მყოფადი დროის მისაღებად
willing	მოსურნე
willingly	სიამოვნებით
willow	ტირიფი
willowy	მოქნილი; ღუნვადი
win	(won, won)       მოგება, გამარჯვება
wince	შეკრთომა, შეთრთოლება
wind	(wound, wound) ქარი; საათის მომართვა
windmill	ქარის წისქვილი
window	ფანჯარა
window-pane	ფანჯრის მინა
wine	ღვინო
winecup	ფიალა, თასი
winepress	საწნახელი
wineskin	ტიკჭორა
wing	ფრთა; ფლანგი; გვერდი
wink	თვალის ჩაკვრა
